   10,      0.009364,      0.004558,      0.000143,      0.042174
   15,      0.013165,      0.005371,      0.000377,      0.059731
   20,      0.016942,      0.006721,      0.000716,      0.077840
   25,      0.022410,      0.008224,      0.001176,      0.103015
   30,      0.030359,      0.009842,      0.001763,      0.137691
   35,      0.040601,      0.012164,      0.002501,      0.182014
   40,      0.053914,      0.015196,      0.003361,      0.236932
   45,      0.070481,      0.020408,      0.004383,      0.303344
   50,      0.092504,      0.026248,      0.005601,      0.384521
   55,      0.115084,      0.031909,      0.007124,      0.453292
   60,      0.141999,      0.040037,      0.009526,      0.531888
   65,      0.197713,      0.196092,      0.038321,      1.792670
   70,     24.927738,    331.652679,     47.261990,   7812.886719
   75, *************, *************, *************, *************
   80, *************,           NaN,           NaN,           NaN
   85,           NaN,           NaN,           NaN,           NaN
   90,           NaN,           NaN,           NaN,           NaN
   95,           NaN,           NaN,           NaN,           NaN
  100,           NaN,           NaN,           NaN,           NaN
  105,           NaN,           NaN,           NaN,           NaN
  110,           NaN,           NaN,           NaN,           NaN
  115,           NaN,           NaN,           NaN,           NaN
  120,           NaN,           NaN,           NaN,           NaN
  125,           NaN,           NaN,           NaN,           NaN
  130,           NaN,           NaN,           NaN,           NaN
  135,           NaN,           NaN,           NaN,           NaN
  140,           NaN,           NaN,           NaN,           NaN
  145,           NaN,           NaN,           NaN,           NaN
  150,           NaN,           NaN,           NaN,           NaN
  155,           NaN,           NaN,           NaN,           NaN
  160,           NaN,           NaN,           NaN,           NaN
  165,           NaN,           NaN,           NaN,           NaN
  170,           NaN,           NaN,           NaN,           NaN
  175,           NaN,           NaN,           NaN,           NaN
  180,           NaN,           NaN,           NaN,           NaN
  185,           NaN,           NaN,           NaN,           NaN
  190,           NaN,           NaN,           NaN,           NaN
  195,           NaN,           NaN,           NaN,           NaN
  200,           NaN,           NaN,           NaN,           NaN
  205,           NaN,           NaN,           NaN,           NaN
  210,           NaN,           NaN,           NaN,           NaN
  215,           NaN,           NaN,           NaN,           NaN
